code,term,term_clean,semantic_tag
5509004,Panic disorder with agoraphobia AND severe panic attacks (disorder),Panic disorder with agoraphobia AND severe panic attacks,disorder
5510009,Organic delusional disorder (disorder),Organic delusional disorder,disorder
5540006,Calcium (substance),Calcium,substance
5549007,Living in temporary quarters (finding),Living in temporary quarters,finding
5552004,Disorder of ovary (disorder),Disorder of ovary,disorder
5556001,Manually assisted spontaneous delivery (procedure),Manually assisted spontaneous delivery,procedure
5587004,Corneal dystrophy (disorder),Corneal dystrophy,disorder
5595000,Salmonella enterica subspecies enterica serovar Typhi (organism),Salmonella enterica subspecies enterica serovar Typhi,organism
5602001,Opioid abuse (disorder),Opioid abuse,disorder
5609005,Sinus arrest (disorder),Sinus arrest,disorder
5619004,Bardet-Biedl syndrome (disorder),Bardet-Biedl syndrome,disorder
5639000,Late tooth eruption (disorder),Late tooth eruption,disorder
5660006,Volitional phonation (observable entity),Volitional phonation,observable entity
5662003,Contusion of hand (disorder),Contusion of hand,disorder
5665001,Retinal structure (body structure),Retinal structure,body structure
5689008,Chronic periodontitis (disorder),Chronic periodontitis,disorder
5692007,Cyanocobalamin (58-Co) (substance),Cyanocobalamin (58-Co),substance
5712003,Sessile (qualifier value),Sessile,qualifier value
5713008,Submandibular triangle structure (body structure),Submandibular triangle structure,body structure
5727003,Structure of anterior cervical lymph node (body structure),Structure of anterior cervical lymph node,body structure
5758002,Bacteremia (finding),Bacteremia,finding
5781000,Operation on nasal septum (procedure),Operation on nasal septum,procedure
5785009,Forensic autopsy (procedure),Forensic autopsy,procedure
5794003,Country dweller (finding),Country dweller,finding
5798000,Diaphragm structure (body structure),Diaphragm structure,body structure
5851001,Corynebacterium diphtheriae (organism),Corynebacterium diphtheriae,organism
5874002,"Anticipatory anxiety, severe (finding)","Anticipatory anxiety, severe",finding
5876000,Acquired pancytopenia (disorder),Acquired pancytopenia,disorder
5880005,Physical examination procedure (procedure),Physical examination procedure,procedure
5883007,"Physiological change of voice, function (observable entity)","Physiological change of voice, function",observable entity
5885000,Mycobacterium flavescens (organism),Mycobacterium flavescens,organism
5888003,Keratitis (disorder),Keratitis,disorder
5902003,"History and physical examination, complete (procedure)","History and physical examination, complete",procedure
5913000,Fracture of neck of femur (disorder),Fracture of neck of femur,disorder
5928000,Great cardiac vein structure (body structure),Great cardiac vein structure,body structure
5931004,Technetium (99m-Tc) sulfur colloid (substance),Technetium (99m-Tc) sulfur colloid,substance
5935008,Uses oral contraception (finding),Uses oral contraception,finding
5953002,Bone structure of eighth rib (body structure),Bone structure of eighth rib,body structure
5969009,Diabetes mellitus associated with genetic syndrome (disorder),Diabetes mellitus associated with genetic syndrome,disorder
5972002,Delay when starting to pass urine (finding),Delay when starting to pass urine,finding
6004007,Intervertebral disc structure of second thoracic vertebra (body structure),Intervertebral disc structure of second thoracic vertebra,body structure
6012004,"Hearing aid, device (physical object)","Hearing aid, device",physical object
6020002,Tinea pedis (disorder),Tinea pedis,disorder
6025007,Laparoscopic appendectomy (procedure),Laparoscopic appendectomy,procedure
6041008,Flat (qualifier value),Flat,qualifier value
6055000,Burn of upper limb (disorder),Burn of upper limb,disorder
6058003,Residual foreign body in soft tissue (disorder),Residual foreign body in soft tissue,disorder
6062009,Structure of deciduous mandibular right canine tooth (body structure),Structure of deciduous mandibular right canine tooth,body structure
6064005,Topical route (qualifier value),Topical route,qualifier value
6072007,Bleeding from anus (disorder),Bleeding from anus,disorder
6077001,Foot-drop (finding),Foot-drop,finding
6096002,Breech presentation (finding),Breech presentation,finding
6105006,Structure of body of fifth thoracic vertebra (body structure),Structure of body of fifth thoracic vertebra,body structure
6118003,Demyelinating disease of central nervous system (disorder),Demyelinating disease of central nervous system,disorder
6140007,Blunted affect (finding),Blunted affect,finding
6141006,Retinal edema (disorder),Retinal edema,disorder
6142004,Influenza (disorder),Influenza,disorder
6148000,Chondrectomy of semilunar cartilage of knee (procedure),Chondrectomy of semilunar cartilage of knee,procedure
6185008,Helicobacter-associated disease (disorder),Helicobacter-associated disease,disorder
6199007,Mycobacterium diernhoferi (organism),Mycobacterium diernhoferi,organism
6215006,Acute cholangitis (disorder),Acute cholangitis,disorder
6217003,Structure of piriform recess (body structure),Structure of piriform recess,body structure
6219000,"Neoplasm, malignant, uncertain whether primary or metastatic (morphologic abnormality)","Neoplasm, malignant, uncertain whether primary or metastatic",morphologic abnormality
6229007,Lacrimal bone structure (body structure),Lacrimal bone structure,body structure
6234006,Second degree perineal laceration (disorder),Second degree perineal laceration,disorder
6240004,Operative procedure on knee (procedure),Operative procedure on knee,procedure
6246005,Treponema pallidum ss. pertenue (organism),Treponema pallidum ss. pertenue,organism
6257000,Sodium (22-Na) chloride (substance),Sodium (22-Na) chloride,substance
6273006,Priapism (disorder),Priapism,disorder
6284004,Abscess of neck (disorder),Abscess of neck,disorder
6285003,Tachyarrhythmia (disorder),Tachyarrhythmia,disorder
6300007,Exposed to noise (event),Exposed to noise,event
6301006,Tantalum-178 (substance),Tantalum-178,substance
6329009,Lean meat exchange list (finding),Lean meat exchange list,finding
6334008,Cervical inunction (finding),Cervical inunction,finding
6373008,Choco (ethnic group),Choco,ethnic group
6374002,Bundle branch block (disorder),Bundle branch block,disorder
6383007,Premature labor (finding),Premature labor,finding
6387008,Vibrio furnissii (organism),Vibrio furnissii,organism
6400008,Xanthoma of eyelid (disorder),Xanthoma of eyelid,disorder
6413002,Structure of presymphysial lymph node (body structure),Structure of presymphysial lymph node,body structure
6415009,Human respiratory syncytial virus (organism),Human respiratory syncytial virus,organism
6423006,Supraspinatus muscle structure (body structure),Supraspinatus muscle structure,body structure
6425004,Product containing histamine receptor antagonist (product),Product containing histamine receptor antagonist,product
6456007,Supraventricular tachycardia (disorder),Supraventricular tachycardia,disorder
6461009,Amygdalolith (disorder),Amygdalolith,disorder
6471006,Suicidal thoughts (finding),Suicidal thoughts,finding
6475002,"Primary degenerative dementia of the Alzheimer type, presenile onset, uncomplicated (disorder)","Primary degenerative dementia of the Alzheimer type, presenile onset, uncomplicated",disorder
6497000,Decreased body mass index (finding),Decreased body mass index,finding
6511003,Structure of distal portion of circumflex branch of left coronary artery (body structure),Structure of distal portion of circumflex branch of left coronary artery,body structure
6516008,Indium (111-In) ferric hydroxide (substance),Indium (111-In) ferric hydroxide,substance
6525002,Dependent drug abuse (disorder),Dependent drug abuse,disorder
6530003,Structure of cardiac valve leaflet (body structure),Structure of cardiac valve leaflet,body structure
6533001,Structure of colonic haustra (body structure),Structure of colonic haustra,body structure
6538005,Structure of thyrocervical trunk (body structure),Structure of thyrocervical trunk,body structure
6544009,Structure of gastrohepatic ligament (body structure),Structure of gastrohepatic ligament,body structure
6552007,Lactose free infant formula (finding),Lactose free infant formula,finding
6566002,Cerebellar hemisphere structure (body structure),Cerebellar hemisphere structure,body structure
6574001,Necrosis (morphologic abnormality),Necrosis,morphologic abnormality
6631009,Thrombocytosis (disorder),Thrombocytosis,disorder
6654000,Acquired hallux rigidus (disorder),Acquired hallux rigidus,disorder
6655004,Acute laryngitis (disorder),Acute laryngitis,disorder
6660000,Atypical intraductal hyperplasia (morphologic abnormality),Atypical intraductal hyperplasia,morphologic abnormality
6698000,Closed trimalleolar fracture (disorder),Closed trimalleolar fracture,disorder
6701008,Lissamine fast red B stain (substance),Lissamine fast red B stain,substance
6703006,Breast lobule hyperplasia (disorder),Breast lobule hyperplasia,disorder
6706003,Transrectal approach (qualifier value),Transrectal approach,qualifier value
6708002,Intrauterine cordocentesis (procedure),Intrauterine cordocentesis,procedure
6725000,Methylthioninium chloride (substance),Methylthioninium chloride,substance
6736007,Moderate (severity modifier) (qualifier value),Moderate (severity modifier),qualifier value
6738008,Female infertility (disorder),Female infertility,disorder
6740003,Cystic fibroadenosis of breast (disorder),Cystic fibroadenosis of breast,disorder
6744007,Painful bladder spasm (finding),Painful bladder spasm,finding
6797001,Mean blood pressure (observable entity),Mean blood pressure,observable entity
6832004,Atherectomy (procedure),Atherectomy,procedure
6836001,Injury of brachial plexus (disorder),Injury of brachial plexus,disorder
6849006,Rupture of quadriceps tendon (disorder),Rupture of quadriceps tendon,disorder
6858004,Capsulitis (disorder),Capsulitis,disorder
6866008,Structure of habenular commissure (body structure),Structure of habenular commissure,body structure
6871001,Structure of visceral pericardium (body structure),Structure of visceral pericardium,body structure
6893006,First stage of labor (finding),First stage of labor,finding
6895004,Tahyna virus (organism),Tahyna virus,organism
6929003,Urethral caruncle (disorder),Urethral caruncle,disorder
6934004,Permanent (qualifier value),Permanent,qualifier value
6936002,Cleft lip sequence (disorder),Cleft lip sequence,disorder
6942003,Level of consciousness (observable entity),Level of consciousness,observable entity
6962006,Hypertensive retinopathy (disorder),Hypertensive retinopathy,disorder
6969002,Lymphocytic tissue structure (body structure),Lymphocytic tissue structure,body structure
6973004,Chromium (51-Cr) chloride (substance),Chromium (51-Cr) chloride,substance
6976007,Craniocervical spinal fusion (procedure),Craniocervical spinal fusion,procedure
6990005,Fracture of shaft of tibia (disorder),Fracture of shaft of tibia,disorder
6996004,Congenital absence of pulmonary valve (disorder),Congenital absence of pulmonary valve,disorder
7006003,Clumsiness (finding),Clumsiness,finding
7011001,Hallucinations (finding),Hallucinations,finding
7033004,Absence status epilepticus (finding),Absence status epilepticus,finding
7058009,Noncompliance with treatment (finding),Noncompliance with treatment,finding
7087005,Intermittent (qualifier value),Intermittent,qualifier value
7093002,Renal colic (finding),Renal colic,finding
7140000,Radiographic contrast media (product),Radiographic contrast media,product
7163005,Urinary tract obstruction (disorder),Urinary tract obstruction,disorder
7173007,Cauda equina structure (body structure),Cauda equina structure,body structure
